type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
頭部防具,雌火龍頭盔α,46,2,0,-2,0,-3,---,體力增強,2,毒屬性強化,1,雌火龍的堅殼,4,雌火龍的上鱗,4,雌火龍的翼膜,2,爆炎袋,3,
頭部防具,雌火龍頭盔β,46,2,0,-2,0,-3,1--,體力增強,1,毒屬性強化,1,雌火龍的堅殼,4,雌火龍的上鱗,4,雌火龍的翼膜,2,爆炎袋,3,
頭部防具,火龍心頭盔α,52,3,0,-3,0,-4,---,迴避距離UP,1,毒屬性強化,1,櫻火龍的上鱗,4,櫻火龍的堅殼,2,堅龍骨,3,貓蜥龍的上鱗,4,櫻火龍之奧祕
頭部防具,火龍心頭盔β,52,3,0,-3,0,-4,2--,迴避距離UP,1,,,櫻火龍的上鱗,4,櫻火龍的堅殼,2,堅龍骨,3,貓蜥龍的上鱗,4,櫻火龍之奧祕
頭部防具,骨鎚龍頭盔α,46,0,2,0,-1,-2,---,耐震,2,,,骨鎚龍的堅殼,6,骨鎚龍的上鱗,4,骨鎚龍的延髓,1,龍玉,1,
頭部防具,骨鎚龍頭盔β,46,0,2,0,-1,-2,2--,耐震,1,,,骨鎚龍的堅殼,6,骨鎚龍的上鱗,4,骨鎚龍的延髓,1,龍玉,1,
頭部防具,突擊龍角α,48,3,0,0,0,0,---,減輕膽怯,1,爆破異常狀態的耐性,1,突擊龍的尖角,3,突擊龍的堅殼,4,冠突龍的堅殼,3,輝龍石,5,
頭部防具,突擊龍角β,48,3,0,0,0,0,1--,減輕膽怯,1,,,突擊龍的尖角,3,突擊龍的堅殼,4,冠突龍的堅殼,3,輝龍石,5,
頭部防具,岩賊龍頭盔α,48,2,0,-3,0,2,---,爆破異常狀態的耐性,2,,,岩賊龍的上鱗,4,岩賊龍的上皮,2,岩賊龍的顎,1,突擊龍的尖角,3,
頭部防具,岩賊龍頭盔β,48,2,0,-3,0,2,1--,爆破異常狀態的耐性,1,,,岩賊龍的上鱗,4,岩賊龍的上皮,2,岩賊龍的顎,1,突擊龍的尖角,3,
頭部防具,鑄島熔岩頭飾α,44,4,-3,-1,-2,-3,---,匠,1,爆破屬性強化,1,熔山龍的熱鱗,3,熔山龍的背甲,2,熔山龍的岩殼,6,輝龍石,8,熔山龍的奧祕
頭部防具,鑄島熔岩頭飾β,44,4,-3,-1,-2,-3,1--,匠,1,,,熔山龍的熱鱗,3,熔山龍的背甲,2,熔山龍的岩殼,6,輝龍石,8,熔山龍的奧祕
頭部防具,礦石頭盔α,50,0,-1,-2,3,0,---,冰耐性,2,耳塞,1,白鳩石,3,靈鶴石,4,龍脈結晶,2,酸翼龍的上皮,3,
頭部防具,礦石頭盔β,50,0,-1,-2,3,0,2--,冰耐性,2,,,白鳩石,3,靈鶴石,4,龍脈結晶,2,酸翼龍的上皮,3,
頭部防具,鑄鐵頭盔α,50,-2,0,3,-1,0,---,雷屬性攻擊強化,2,,,白鳩石,1,堅龍骨,2,輝龍石,4,突擊龍的尖角,2,
頭部防具,鑄鐵頭盔β,50,-2,0,3,-1,0,1--,雷屬性攻擊強化,1,,,白鳩石,1,堅龍骨,2,輝龍石,4,突擊龍的尖角,2,
頭部防具,旅團帽α,52,1,0,2,0,2,---,回復速度,2,吹笛名人,1,狩獵王硬幣,2,眩鳥硬幣,4,岩賊龍硬幣,3,堅龍骨,2,
頭部防具,旅團帽β,52,1,0,2,0,2,1--,回復速度,2,,,狩獵王硬幣,2,眩鳥硬幣,4,岩賊龍硬幣,3,堅龍骨,2,
頭部防具,艾路頭套α,56,2,2,2,2,2,---,指示隨從,3,,,隨從票,3,浮空龍的上毛皮,3,良質毛皮,3,獄炎石,1,
頭部防具,知性眼鏡α,56,2,2,2,2,2,1--,看破,2,,,獄炎石,2,璀璨水晶,2,白鳩石,6,,,
頭部防具,熔岩龍頭盔α,56,3,-3,1,-2,2,---,火屬性攻擊強化,2,收刀術,1,熔岩龍的上鱗,4,熔岩龍的堅殼,2,熔岩龍的上腰內肉,2,堅龍骨,6,
頭部防具,熔岩龍頭盔β,56,3,-3,1,-2,2,11-,火屬性攻擊強化,1,收刀術,1,熔岩龍的上鱗,4,熔岩龍的堅殼,2,熔岩龍的上腰內肉,2,堅龍骨,6,
頭部防具,風漂龍頭盔α,54,-1,2,-3,3,0,---,精靈加護,2,冰屬性攻擊強化,1,風漂龍的上鱗,4,風漂龍的上皮,2,凍結袋,2,眩鳥的上鱗,2,風漂龍的恩寵
頭部防具,風漂龍頭盔β,54,-1,2,-3,3,0,1--,精靈加護,2,,,風漂龍的上鱗,4,風漂龍的上皮,2,凍結袋,2,眩鳥的上鱗,2,風漂龍的恩寵
頭部防具,慘爪龍頭盔α,54,2,2,-2,-3,0,---,裂傷耐性,2,看破,1,慘爪龍的上鱗,4,慘爪龍的大硬筋,2,慘爪龍的尖爪,2,扭曲狂骨,3,慘爪龍的奧祕
頭部防具,慘爪龍頭盔β,54,2,2,-2,-3,0,2--,裂傷耐性,2,,,慘爪龍的上鱗,4,慘爪龍的大硬筋,2,慘爪龍的尖爪,2,扭曲狂骨,3,慘爪龍的奧祕
頭部防具,火龍頭盔α,54,3,1,-2,1,-3,---,攻擊,2,火屬性攻擊強化,1,火龍的上鱗,4,火龍的堅殼,4,爆炎袋,2,火龍的延髓,1,火龍奧祕
頭部防具,火龍頭盔β,54,3,1,-2,1,-3,1--,攻擊,2,,,火龍的上鱗,4,火龍的堅殼,4,爆炎袋,2,火龍的延髓,1,火龍奧祕
頭部防具,火龍魂頭盔α,56,3,2,2,-3,-4,---,超會心,1,威嚇,2,蒼火龍的上鱗,4,蒼火龍的堅殼,4,蒼火龍之翼,3,火龍的紅玉,1,火龍奧祕
頭部防具,火龍魂頭盔β,56,3,2,2,-3,-4,11-,超會心,1,,,蒼火龍的上鱗,4,蒼火龍的堅殼,4,蒼火龍之翼,3,火龍的紅玉,1,火龍奧祕
頭部防具,角龍頭盔α,54,3,-2,0,-3,2,---,拔刀術【技】,2,火場怪力,1,角龍的堅甲,4,角龍的牙,4,優質的彎曲角,2,龍玉,1,角龍之奧祕
頭部防具,角龍頭盔β,54,3,-2,0,-3,2,2--,拔刀術【技】,2,,,角龍的堅甲,4,角龍的牙,4,優質的彎曲角,2,龍玉,1,角龍之奧祕
頭部防具,暴君角龍頭盔α,56,2,-3,0,-4,2,1--,集中,2,,,黑角龍的堅甲,1,優質的彎曲角,2,優質的黑卷角,1,璀璨水晶,1,角龍之奧祕
頭部防具,暴君角龍頭盔β,56,2,-3,0,-4,2,3--,集中,1,,,黑角龍的堅甲,1,優質的彎曲角,2,優質的黑卷角,1,璀璨水晶,1,角龍之奧祕
頭部防具,爆鎚龍頭盔α,60,4,-3,1,-2,-2,3--,雷耐性,2,,,爆鎚龍的上鱗,4,爆鎚龍的堅殼,2,熔岩塊,4,獄炎石,1,爆鎚龍之守護
頭部防具,爆鎚龍頭盔β,60,4,-3,1,-2,-2,31-,雷耐性,1,,,爆鎚龍的上鱗,4,爆鎚龍的堅殼,2,熔岩塊,4,獄炎石,1,爆鎚龍之守護
頭部防具,爆鱗龍頭盔α,58,3,1,-4,-2,-2,2--,耳塞,2,爆破屬性強化,1,爆鱗龍的堅殼,5,爆鱗龍的尖爪,2,爆鱗龍之翼,2,爆鱗龍的寶玉,1,爆鱗龍之守護
頭部防具,爆鱗龍頭盔β,58,3,1,-4,-2,-2,31-,耳塞,2,,,爆鱗龍的堅殼,5,爆鱗龍的尖爪,2,爆鱗龍之翼,2,爆鱗龍的寶玉,1,爆鱗龍之守護
頭部防具,大馬士革頭盔α,60,4,-2,0,0,0,1--,防禦,2,砥石使用高速化,1,古龍之血,2,白鳩石,3,大凶顎龍的大頭巾,3,璀璨水晶,1,
頭部防具,大馬士革頭盔β,60,4,-2,0,0,0,3--,防禦,2,,,古龍之血,2,白鳩石,3,大凶顎龍的大頭巾,3,璀璨水晶,1,
頭部防具,杜賓頭盔α,60,-2,0,-1,-1,4,---,屬性解放/裝填擴充,1,龍耐性,1,古龍骨,3,良質硬骨,3,爆鱗龍的爆腺,1,古老龍骨,1,
頭部防具,杜賓頭盔β,60,-2,0,-1,-1,4,1--,屬性解放/裝填擴充,1,,,古龍骨,3,良質硬骨,3,爆鱗龍的爆腺,1,古老龍骨,1,
頭部防具,公會頭盔α,62,0,0,0,0,0,1--,精靈加護,2,雷耐性,2,擊龍王硬幣,3,飛龍硬幣,2,狩獵王硬幣,2,勇氣之證G,1,公會的引導
頭部防具,公會頭盔β,62,0,0,0,0,0,111,精靈加護,2,,,擊龍王硬幣,3,飛龍硬幣,2,狩獵王硬幣,2,勇氣之證G,1,公會的引導
頭部防具,死神首腦α,62,3,2,-2,3,-4,2--,死裡逃生,1,看破,1,災禍之布,2,狂亂蠻骨,1,屍套龍的被膜,1,銳爪,3,
頭部防具,死神首腦β,62,3,2,-2,3,-4,3--,死裡逃生,1,,,災禍之布,2,狂亂蠻骨,1,屍套龍的被膜,1,銳爪,3,
頭部防具,骷髏面罩α,64,-3,-1,-1,-1,2,2--,匠,1,,,謎樣的頭骨,1,狂亂蠻骨,2,扭曲狂骨,3,古老龍骨,1,
頭部防具,戰紋頭盔α,64,1,1,-3,1,-3,1--,精神抖擻,2,攻擊,1,滅盡龍的大角,2,滅盡龍的堅殼,6,不滅的龍鱗,4,滅盡龍的寶玉,1,滅盡龍之飢餓
頭部防具,戰紋頭盔β,64,1,1,-3,1,-3,11-,精神抖擻,2,,,滅盡龍的大角,2,滅盡龍的堅殼,6,不滅的龍鱗,4,滅盡龍的寶玉,1,滅盡龍之飢餓
頭部防具,帝王皇冠α,64,3,-3,1,-3,1,---,力量解放,2,,,炎王龍的堅殼,5,炎王龍的尖角,2,炎王龍的尾巴,2,獄炎石,1,炎王龍之武技
頭部防具,帝王皇冠β,64,3,-3,1,-3,1,2--,力量解放,1,,,炎王龍的堅殼,5,炎王龍的尖角,2,炎王龍的尾巴,2,獄炎石,1,炎王龍之武技
頭部防具,鋼龍強力α,64,0,2,-3,4,-2,---,冰屬性攻擊強化,2,匠,1,鋼的上龍鱗,4,鋼龍的堅殼,4,鋼龍之翼,2,古龍骨,4,鋼龍的飛翔
頭部防具,鋼龍強力β,64,0,2,-3,4,-2,111,冰屬性攻擊強化,2,,,鋼的上龍鱗,4,鋼龍的堅殼,4,鋼龍之翼,2,古龍骨,4,鋼龍的飛翔
頭部防具,麒麟角α,64,-3,-2,4,-2,2,---,跑者,2,精靈加護,1,麒麟的上皮,3,麒麟的蒼角,1,貓蜥龍的上鱗,2,電擊袋,4,幻獸的恩寵
頭部防具,麒麟角β,64,-3,-2,4,-2,2,1--,跑者,2,,,麒麟的上皮,3,麒麟的蒼角,1,貓蜥龍的上鱗,2,電擊袋,4,幻獸的恩寵
頭部防具,烏爾德頭盔α,64,-4,4,1,-1,-3,---,無傷,1,龍屬性攻擊強化,2,死屍的龍鱗,5,屍套龍的堅殼,4,屍套龍的尖爪,4,古龍骨,4,屍套龍之命脈
頭部防具,烏爾德頭盔β,64,-4,4,1,-1,-3,1--,無傷,1,,,死屍的龍鱗,5,屍套龍的堅殼,4,屍套龍的尖爪,4,古龍骨,4,屍套龍之命脈
頭部防具,異種大型頭飾α,72,-3,2,2,2,-4,1--,減輕膽怯,1,特殊射擊強化,1,冥燈龍的幽鱗,5,冥燈龍的白殼,4,冥燈龍的幽角,2,火龍的逆鱗,1,冥燈龍的神秘
頭部防具,異種大型頭飾β,72,-3,2,2,2,-4,2--,減輕膽怯,1,,,冥燈龍的幽鱗,5,冥燈龍的白殼,4,冥燈龍的幽角,2,火龍的逆鱗,1,冥燈龍的神秘
頭部防具,(日)追尋者頭盔α,70,2,2,2,2,2,1--,整備,1,採集達人,1,調查團票,1,火龍的上鱗,8,災禍之布,2,勇氣之證G,2,調查團的引導
頭部防具,(日)追尋者頭盔β,70,2,2,2,2,2,2--,整備,1,,,調查團票,1,火龍的上鱗,8,災禍之布,2,勇氣之證G,2,調查團的引導
頭部防具,龍王的獨眼α,70,0,0,0,0,0,3--,弱點特效,2,,,龍脈結晶,2,勇氣之證G,1,不滅的龍鱗,6,,,
頭部防具,封印的眼罩α,46,3,2,0,2,0,21-,火耐性,1,,,黑色繃帶,2,貓蜥龍的上鱗,7,貓蜥龍的上皮,5,銳爪,4,
