type,name,defense,defense1,defense2,defense3,defense4,defense5,decoration,skill1,skLV1,skill2,skLV2,material1,mNUM,material3,mNUM2,material5,mNUM3,material7,mNUM4,caseSk
腕部防具,旅團腕甲β,52,1,0,2,0,2,1--,砲擊手,2,,,狩獵王硬幣,2,土砂龍硬幣,4,火龍硬幣,3,堅龍骨,2,
腕部防具,熔岩龍腕甲α,56,3,-3,1,-2,2,2--,滑走強化,1,廣域化,1,熔岩龍的堅殼,4,熔岩龍的銳牙,4,熔岩龍的上鱗,6,咬魚的上皮,6,
腕部防具,熔岩龍腕甲β,56,3,-3,1,-2,2,3--,滑走強化,1,,,熔岩龍的堅殼,4,熔岩龍的銳牙,4,熔岩龍的上鱗,6,咬魚的上皮,6,
腕部防具,風漂龍腕甲α,54,-1,2,-3,3,0,---,飛燕,1,迴避性能,1,風漂龍的上皮,4,風漂龍的上鱗,4,風漂龍的尾膜,3,璀璨水晶,1,風漂龍的恩寵
腕部防具,風漂龍腕甲β,54,-1,2,-3,3,0,3--,飛燕,1,,,風漂龍的上皮,4,風漂龍的上鱗,4,風漂龍的尾膜,3,璀璨水晶,1,風漂龍的恩寵
腕部防具,慘爪龍腕甲α,54,2,2,-2,-3,0,---,體術,1,看破,1,慘爪龍的大硬筋,4,慘爪龍的上鱗,4,慘爪龍的尾巴,2,巨甲蟲的薄羽,4,慘爪龍的奧祕
腕部防具,慘爪龍腕甲β,54,2,2,-2,-3,0,1--,體術,1,,,慘爪龍的大硬筋,4,慘爪龍的上鱗,4,慘爪龍的尾巴,2,巨甲蟲的薄羽,4,慘爪龍的奧祕
腕部防具,火龍腕甲α,54,3,1,-2,1,-3,---,火耐性,2,攻擊,1,火龍的堅殼,6,火龍之翼,2,爆炎袋,2,火龍的翼爪,6,火龍奧祕
腕部防具,火龍腕甲β,54,3,1,-2,1,-3,1--,火耐性,2,,,火龍的堅殼,6,火龍之翼,2,爆炎袋,2,火龍的翼爪,6,火龍奧祕
腕部防具,火龍魂腕甲α,56,3,2,2,-3,-4,1--,集中,1,風壓耐性,1,蒼火龍的堅殼,6,蒼火龍之翼,2,蒼火龍的尾巴,1,酸翼龍的尖爪,4,火龍奧祕
腕部防具,火龍魂腕甲β,56,3,2,2,-3,-4,2--,集中,1,,,蒼火龍的堅殼,6,蒼火龍之翼,2,蒼火龍的尾巴,1,酸翼龍的尖爪,4,火龍奧祕
腕部防具,角龍腕甲α,54,3,-2,0,-3,2,---,火場怪力,2,耐震,1,角龍的堅甲,4,角龍的堅殼,6,角龍的尾甲,3,冠突龍的堅殼,5,角龍之奧祕
腕部防具,角龍腕甲β,54,3,-2,0,-3,2,2--,火場怪力,2,,,角龍的堅甲,4,角龍的堅殼,6,角龍的尾甲,3,冠突龍的堅殼,5,角龍之奧祕
腕部防具,暴君角龍腕甲α,56,2,-3,0,-4,2,---,集中,1,跑者,1,黑角龍的堅甲,4,黑角龍的堅殼,6,靈鶴石,5,突擊龍的堅殼,5,角龍之奧祕
腕部防具,暴君角龍腕甲β,56,2,-3,0,-4,2,21-,集中,1,,,黑角龍的堅甲,4,黑角龍的堅殼,6,靈鶴石,5,突擊龍的堅殼,5,角龍之奧祕
腕部防具,爆鎚龍腕甲α,60,4,-3,1,-2,-2,1--,防禦性能,1,防禦,1,爆鎚龍的堅殼,4,爆鎚龍的上鱗,4,爆鎚龍的延髓,1,熔岩塊,4,爆鎚龍之守護
腕部防具,爆鎚龍腕甲β,60,4,-3,1,-2,-2,2--,防禦性能,1,,,爆鎚龍的堅殼,4,爆鎚龍的上鱗,4,爆鎚龍的延髓,1,熔岩塊,4,爆鎚龍之守護
腕部防具,爆鱗龍腕甲α,58,3,1,-4,-2,-2,---,拔刀術【技】,2,耳塞,1,爆鱗龍的堅殼,4,爆鱗龍的尖爪,2,爆鱗龍的尾巴,2,獄炎石,1,爆鱗龍之守護
腕部防具,爆鱗龍腕甲β,58,3,1,-4,-2,-2,3--,拔刀術【技】,2,,,爆鱗龍的堅殼,4,爆鱗龍的尖爪,2,爆鱗龍的尾巴,2,獄炎石,1,爆鱗龍之守護
腕部防具,大馬士革腕甲α,60,4,-2,0,0,0,---,匠,1,砥石使用高速化,1,古龍之血,2,白鳩石,3,黑角龍的堅甲,5,璀璨水晶,1,
腕部防具,大馬士革腕甲β,60,4,-2,0,0,0,1--,匠,1,,,古龍之血,2,白鳩石,3,黑角龍的堅甲,5,璀璨水晶,1,
腕部防具,杜賓腕甲α,60,-2,0,-1,-1,4,---,耐力急速回復,2,最愛菇類,1,古龍骨,3,良質硬骨,3,爆鎚龍的延髓,1,狂亂蠻骨,1,
腕部防具,杜賓腕甲β,60,-2,0,-1,-1,4,11-,耐力急速回復,1,最愛菇類,1,古龍骨,3,良質硬骨,3,爆鎚龍的延髓,1,狂亂蠻骨,1,
腕部防具,公會腕甲α,62,0,0,0,0,0,1--,整備,1,水耐性,2,擊龍王硬幣,3,獸龍硬幣,3,狩獵王硬幣,2,勇氣之證G,1,公會的引導
腕部防具,公會腕甲β,62,0,0,0,0,0,3--,整備,1,,,擊龍王硬幣,3,獸龍硬幣,3,狩獵王硬幣,2,勇氣之證G,1,公會的引導
腕部防具,死神雙手α,62,3,2,-2,3,-4,1--,集中,2,龍屬性攻擊強化,1,災禍之布,2,狂亂蠻骨,2,屍套龍的被膜,2,璀璨水晶,1,
腕部防具,死神雙手β,62,3,2,-2,3,-4,11-,集中,2,,,災禍之布,2,狂亂蠻骨,2,屍套龍的被膜,2,璀璨水晶,1,
腕部防具,戰紋腕甲α,64,1,1,-3,1,-3,---,挑戰者,2,攻擊,1,滅盡龍的堅殼,4,滅盡龍的大角,1,滅盡龍的尾巴,2,獄炎石,1,滅盡龍之飢餓
腕部防具,戰紋腕甲β,64,1,1,-3,1,-3,1--,挑戰者,2,,,滅盡龍的堅殼,4,滅盡龍的大角,1,滅盡龍的尾巴,2,獄炎石,1,滅盡龍之飢餓
腕部防具,帝王腕甲α,64,3,-3,1,-3,1,1--,弱點特效,2,,,獄炎的龍鱗,4,炎王龍的堅殼,4,炎龍的尖爪,4,古龍骨,4,炎王龍之武技
腕部防具,帝王腕甲β,64,3,-3,1,-3,1,3--,弱點特效,1,,,獄炎的龍鱗,4,炎王龍的堅殼,4,炎龍的尖爪,4,古龍骨,4,炎王龍之武技
腕部防具,鋼龍剛強α,64,0,2,-3,4,-2,---,迴避性能,2,匠,1,鋼龍的堅殼,5,鋼龍的尖角,2,鋼龍的尾巴,2,風漂龍的逆鱗,1,鋼龍的飛翔
腕部防具,鋼龍剛強β,64,0,2,-3,4,-2,3--,迴避性能,2,,,鋼龍的堅殼,5,鋼龍的尖角,2,鋼龍的尾巴,2,風漂龍的逆鱗,1,鋼龍的飛翔
腕部防具,麒麟長腕甲α,64,-3,-2,4,-2,2,---,雷屬性攻擊強化,2,跑者,1,麒麟的上皮,3,麒麟的鬃毛,4,橡膠質的堅殼,3,龍脈結晶,6,幻獸的恩寵
腕部防具,麒麟長腕甲β,64,-3,-2,4,-2,2,1--,雷屬性攻擊強化,2,,,麒麟的上皮,3,麒麟的鬃毛,4,橡膠質的堅殼,3,龍脈結晶,6,幻獸的恩寵
腕部防具,烏爾德腕甲α,64,-4,4,1,-1,-3,1--,無傷,1,回復速度,1,屍套龍的銳牙,3,死屍的龍鱗,6,屍套龍的被膜,2,屍套龍的寶玉,1,屍套龍之命脈
腕部防具,烏爾德腕甲β,64,-4,4,1,-1,-3,111,無傷,1,,,屍套龍的銳牙,3,死屍的龍鱗,6,屍套龍的被膜,2,屍套龍的寶玉,1,屍套龍之命脈
腕部防具,異種大型鋼爪α,72,-3,2,2,2,-4,1--,減輕膽怯,1,超會心,1,冥燈龍的白殼,4,冥燈龍的幽爪,3,冥燈龍的幽幕,2,龍玉,1,冥燈龍的神秘
腕部防具,異種大型鋼爪β,72,-3,2,2,2,-4,3--,減輕膽怯,1,,,冥燈龍的白殼,4,冥燈龍的幽爪,3,冥燈龍的幽幕,2,龍玉,1,冥燈龍的神秘
腕部防具,(日)追尋者腕甲α,70,2,2,2,2,2,1--,閃光強化,1,剝取鐵人,1,調查團票,1,風漂龍的上鱗,8,災禍之布,2,勇氣之證G,1,調查團的引導
腕部防具,(日)追尋者腕甲β,70,2,2,2,2,2,2--,閃光強化,1,,,調查團票,1,風漂龍的上鱗,8,災禍之布,2,勇氣之證G,1,調查團的引導
